               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.072474,            0.034109,            0.050597,            0.012177,                 0.9,            0.077033,            0.023308,            0.040048,             0.01504,            0.037016,            0.066429,           0.0034289,           0.0034289
                  38,            0.074331,            0.025297,            0.052775,            0.012517,                   1,             0.12575,            0.040122,            0.040154,            0.014525,            0.035149,            0.065514,           0.0035141,           0.0035141
                  39,             0.07231,            0.028528,            0.049953,            0.012517,                   1,             0.12575,            0.040122,            0.040154,            0.014525,            0.035149,            0.064599,           0.0035988,           0.0035988
                  40,             0.06861,            0.024612,            0.046069,            0.011965,                   1,              0.1466,            0.052999,            0.040854,            0.013953,            0.032827,            0.063683,           0.0036832,           0.0036832
                  41,            0.073099,            0.027329,            0.047448,            0.011965,                   1,              0.1466,            0.052999,            0.040854,            0.013953,            0.032827,            0.062767,           0.0037672,           0.0037672
                  42,             0.07496,            0.020999,            0.047447,            0.011659,                   1,             0.28521,            0.098861,            0.037059,            0.013982,             0.03131,            0.061851,           0.0038507,           0.0038507
                  43,            0.068991,            0.025303,            0.045588,            0.011659,                   1,             0.28521,            0.098861,            0.037059,            0.013982,             0.03131,            0.060934,           0.0039339,           0.0039339
                  44,            0.065959,            0.024426,            0.046156,            0.011545,                   1,             0.21006,            0.075882,            0.036581,            0.013436,            0.029234,            0.060017,           0.0040167,           0.0040167
                  45,            0.064924,            0.020816,            0.045683,            0.011545,                   1,             0.21006,            0.075882,            0.036581,            0.013436,            0.029234,            0.059099,           0.0040991,           0.0040991
                  46,            0.065315,            0.023039,            0.043519,             0.18689,                 0.6,             0.32831,            0.090654,            0.037997,            0.012532,            0.027743,            0.058181,            0.004181,            0.004181
                  47,            0.071483,            0.027129,            0.045323,             0.18689,                 0.6,             0.32831,            0.090654,            0.037997,            0.012532,            0.027743,            0.057263,           0.0042626,           0.0042626
                  48,             0.06029,            0.027525,            0.040781,             0.10422,                 0.6,             0.14311,            0.044239,            0.045235,            0.011275,              0.0269,            0.056344,           0.0043438,           0.0043438
                  49,            0.067217,            0.021848,            0.040652,             0.10422,                 0.6,             0.14311,            0.044239,            0.045235,            0.011275,              0.0269,            0.055425,           0.0044246,           0.0044246
                  50,            0.068554,            0.019544,            0.040705,             0.16163,                 0.8,             0.27095,             0.12562,            0.037514,            0.011264,            0.026692,            0.054505,            0.004505,            0.004505
                  51,            0.068381,            0.019219,            0.040678,             0.16163,                 0.8,             0.27095,             0.12562,            0.037514,            0.011264,            0.026692,            0.053585,            0.004585,            0.004585
                  52,            0.068827,            0.027059,            0.040856,             0.16163,                 0.8,             0.27095,             0.12562,            0.037514,            0.011264,            0.026692,            0.052665,           0.0046646,           0.0046646
                  53,            0.066694,            0.020068,            0.042151,             0.14765,             0.88945,             0.17105,            0.057039,            0.055654,           0.0095766,            0.026815,            0.051744,           0.0047438,           0.0047438
                  54,            0.074141,            0.023038,            0.040264,             0.14765,             0.88945,             0.17105,            0.057039,            0.055654,           0.0095766,            0.026815,            0.050823,           0.0048226,           0.0048226
                  55,               0.068,            0.016508,            0.040787,             0.14765,             0.88945,             0.17105,            0.057039,            0.055654,           0.0095766,            0.026815,            0.049901,           0.0049011,           0.0049011
                  56,            0.072125,            0.021598,            0.038377,              0.1751,                 0.7,             0.24723,            0.060177,            0.047938,            0.010134,            0.026439,            0.048979,           0.0049791,           0.0049791
